# run,dgmsl(mm)
0,138
1,27
2,63
4,97
5,138
6,158
7,119
8,82
9,168
10,28
11,58
12,169
13,103
14,207
15,-8
16,90
17,83
18,68
19,51
20,108
21,34
22,35
23,164
24,208
25,97
26,132
27,220
28,40
29,48
31,254
32,142
33,192
34,79
35,108
36,84
37,167
38,228
39,72
40,72
41,82
42,250
43,55
44,243
45,180
46,310
47,198
48,250
49,60
50,125
51,205
52,119
53,50
54,21
55,114
56,63
57,41
58,239
59,120
60,71
61,157
62,121
63,89
64,175
65,87
66,84
67,247
68,102
69,263
70,83
71,258
72,115
73,102
74,194
75,143
76,305
77,74
78,44
80,91
81,47
82,264
83,74
84,71
85,197
86,130
87,128
88,107
89,-19
90,85
91,115
92,215
93,93
94,140
95,187
96,146
97,99
98,74
99,225
100,168
101,147
102,276
103,169
104,254
105,127
106,39
107,92
108,150
109,211
110,75
111,55
112,115
113,106
115,103
116,66
117,113
118,71
119,57
120,207
121,171
122,85
123,69
124,82
125,122
126,111
127,44
128,134
129,107
130,91
131,37
132,56
133,62
134,95
135,25
136,94
137,241
138,96
139,155
140,130
141,98
142,136
143,177
144,175
145,295
146,111
147,88
148,173
149,117
150,110
151,178
152,42
153,41
154,120
156,129
157,94
158,242
159,184
160,129
161,129
162,4
163,169
164,163
166,187
167,146
168,20
169,67
170,163
171,96
172,139
173,132
174,186
175,131
176,127
177,136
178,112
179,144
180,125
181,171
182,179
183,140
184,109
185,44
186,73
187,57
188,206
189,188
190,71
191,78
192,254
193,142
194,156
195,86
196,223
197,75
198,140
199,100
200,129
201,88
202,46
203,136
204,69
205,144
206,88
207,74
208,139
209,45
210,104
211,80
212,17
213,230
214,212
215,291
216,305
217,78
218,130
219,80
220,93
221,96
222,134
223,224
224,345
225,59
226,89
227,40
228,213
229,179
231,186
232,98
233,173
234,100
235,133
236,68
237,24
238,122
239,153
240,85
241,208
242,177
243,23
244,134
245,75
246,204
247,59
248,248
249,79
250,173
251,109
252,101
253,128
254,132
255,2
256,258
257,113
258,99
259,177
260,117
261,128
262,177
263,104
264,113
265,162
266,223
267,84
268,171
269,185
270,23
271,223
272,119
273,181
274,87
275,191
276,97
277,66
278,73
279,70
280,29
281,114
282,69
283,135
284,159
285,49
286,71
287,145
288,141
289,114
290,56
291,169
292,49
293,203
294,39
295,146
296,160
297,249
298,128
299,216
300,78
301,40
302,56
303,117
304,161
305,97
306,58
307,110
308,116
309,130
310,177
311,316
312,178
313,169
314,144
315,41
316,186
317,112
318,80
319,33
320,174
321,77
322,203
323,211
324,67
325,191
326,114
327,32
328,63
329,38
331,140
332,229
333,84
334,116
335,132
336,131
337,211
339,59
340,66
341,158
342,97
343,58
344,181
345,117
346,275
347,97
348,102
349,51
350,362
351,93
352,130
353,179
354,129
355,135
356,236
358,144
359,84
360,173
361,158
362,292
363,137
364, 
365,67
366,169
367,282
368,224
370,187
371,146
372,179
373,134
374,140
376,156
377,126
378,31
379,120
380,72
381,111
382,328
383,42
384,83
385,65
386,152
387,41
388,222
389,150
390,31
391,166
392,48
393,94
394,168
395,74
396,230
397,63
398,199
399,197
400,126
401,60
402,179
404,140
405,30
406,91
407,32
408,215
409,126
410,130
411,157
412,255
413,46
415,60
416,197
417,183
418,54
419,91
420,101
421,48
422,140
423,331
424,117
425,38
426,135
427,145
428,94
429,141
430,87
431,70
432,85
433,124
434,179
435,154
436,140
437,35
438,82
439,65
440,75
441,226
442,53
445,67
446,31
447,111
448,55
449,71
450,128
451,109
452,253
453,168
454,18
455,75
456,145
457,103
458,248
459,157
460,72
461,29
462,195
463,204
464,70
465,232
466,116
467,130
468,172
469,52
470,69
471,190
472,219
473,173
474,121
475,162
476,81
477,191
478,146
479,66
480,96
481,98
482,162
483,197
484,149
485,184
486,116
487,200
488,186
489,124
490,10
491,54
492,228
493,99
494,66
495,180
496,256
497,131
498,72
499,47
