# run,dgmsl(mm)
0,180
1,43
2,92
3,352
4,141
5,171
6,199
7,161
8,115
9,205
10,49
11,87
12,218
13,130
14,239
15,12
16,127
17,121
18,92
19,73
20,144
21,57
22,65
23,207
24,258
25,130
26,172
27,262
28,67
29,80
31,288
32,162
33,228
34,112
35,140
36,108
37,196
38,260
39,97
40,97
41,116
42,299
43,79
44,287
45,230
46,345
47,245
48,294
49,95
50,161
51,236
52,148
53,79
54,46
55,154
56,92
57,66
58,282
59,151
60,94
61,204
62,158
63,120
64,212
65,125
66,106
67,294
68,135
69,301
70,109
72,156
73,143
74,220
75,179
76,344
77,102
78,68
79,57
80,129
81,70
82,305
83,109
84,105
85,246
86,154
87,171
88,139
89, 
90,124
91,158
92,263
93,127
94,180
95,212
96,183
97,129
98,105
99,276
100,210
101,193
102,318
103,212
104,306
105,161
106,66
107,129
108,188
109,244
110,105
111,83
112,153
113,138
114,168
115,133
116,96
117,149
118,89
119,89
120,249
121,221
122,109
123,100
124,116
125,148
126,156
127,67
128,170
129,141
130,127
131,67
132,76
134,130
135,50
136,114
137,282
138,118
139,200
140,166
141,129
142,185
143,219
144,211
145,332
146,140
147,121
148,205
149,154
150,145
151,225
152,71
153,66
154,159
156,166
157,131
158,286
159,230
160,164
161,171
162,24
163,215
164,209
165,260
166,217
167,187
168,47
169,90
170,185
171,136
172,173
173,162
174,220
175,154
176,165
177,174
178,142
179,191
180,168
181,217
182,213
183,163
184,143
185,73
186,104
187,79
188,258
189,230
190,99
191,104
193,168
194,196
195,122
196,274
197,108
198,169
199,140
200,162
201,125
202,74
203,170
204,96
205,177
206,126
207,98
208,175
209,72
210,129
211,113
212,35
213,281
214,263
215,334
216,365
217,114
218,173
219,101
220,124
221,120
222,181
223,269
224,387
225,86
226,123
227,68
229,218
230,76
231,233
232,133
233,220
234,132
235,153
236,100
237,52
238,151
239,193
240,118
241,243
242,205
243,44
244,175
245,114
246,244
247,78
248,280
249,118
250,222
251,140
252,125
253,154
254,168
255,18
256,314
257,151
258,142
259,220
260,143
261,163
262,229
263,137
264,153
265,210
266,259
267,103
268,204
269,234
270,42
271,269
272,160
273,217
274,118
275,239
276,129
277,98
278,91
279,98
280,51
281,152
282,95
283,172
284,194
285,69
286,107
287,187
288,178
289,141
290,81
291,207
292,76
293,250
294,66
295,179
296,193
297,286
298,165
299,265
300,110
301,68
302,83
303,159
304,194
305,130
306,90
307,146
308,150
309,164
310,212
311,369
313,218
314,198
315,63
316,229
317,149
318,106
319,57
320,203
321,105
322,240
323,237
324,97
325,235
326,153
327,55
328,93
329,65
330,164
331,183
332,275
333,112
334,135
335,170
336,176
337,255
338,189
339,87
340,89
341,184
342,139
343,85
344,229
345,158
347,123
348,141
349,81
351,122
352,168
353,228
354,169
355,167
356,263
357,301
358,182
359,119
361,205
362,327
363,180
364,22
365,92
366,215
367,326
368,265
369,399
370,206
371,194
372,225
373,165
374,173
375,163
376,205
377,151
378,58
379,146
380,106
381,150
382,381
383,78
384,112
385,98
386,187
387,63
388,261
389,186
390,57
391,196
392,74
393,122
394,212
395,99
396,270
397,92
398,231
399,242
400,166
401,86
402,214
403,42
404,163
405,55
406,125
407,55
408,264
409,167
410,154
411,195
412,312
413,67
415,88
416,244
417,233
418,74
419,115
420,143
421,67
422,185
424,160
425,62
426,175
427,188
428,125
429,162
430,120
431,97
432,120
433,160
434,227
435,195
436,171
437,56
438,119
439,95
440,107
441,258
442,86
443,238
444,245
445,85
446,46
447,154
448,80
449,109
450,161
451,151
452,296
453,214
454,46
455,108
456,175
457,141
458,272
459,190
460,106
461,49
462,234
463,247
464,93
465,264
466,160
467,171
468,219
469,77
470,100
471,237
472,249
473,217
474,163
475,196
476,116
477,230
478,187
479,101
480,123
481,120
482,208
483,215
484,182
485,237
486,139
487,226
488,234
489,159
490,31
491,83
492,264
493,123
494,96
495,229
496,305
497,177
498,104
499,81
