# run,dgmsl(mm)
0,292
1,58
2,163
4,226
5,276
6,331
7,260
8,191
9,338
10,62
11,131
12,375
13,203
14,365
15,-6
16,206
17,191
18,152
19,93
20,240
21,67
22,81
23,326
24,438
25,203
26,283
27,417
28,88
29,114
31,452
32,236
33,357
34,175
35,221
36,160
37,302
38,412
39,159
40,134
41,183
42,491
43,120
44,451
45,383
46,545
47,409
48,486
49,141
50,269
51,366
52,225
53,111
54,65
55,253
56,138
57,84
58,482
59,236
60,137
61,345
62,251
63,177
64,329
65,198
66,155
67,495
68,226
69,455
70,164
71,515
72,268
73,238
74,305
75,287
76,531
77,157
78,93
80,203
81,126
82,521
83,172
84,160
85,416
86,227
87,266
88,216
89,-25
90,198
91,262
92,434
93,203
94,304
95,293
96,281
97,205
98,147
99,470
100,343
101,333
102,525
103,343
104,520
105,254
106,86
107,207
108,306
109,371
110,160
111,118
112,256
113,220
115,191
116,148
117,232
118,136
119,133
120,396
121,377
122,170
123,165
124,181
125,232
126,257
127,97
128,301
129,219
130,200
131,85
132,107
133,139
134,205
135,69
136,174
137,446
138,177
139,326
140,265
141,195
142,320
143,349
144,345
145,518
146,210
147,190
148,308
149,255
150,218
151,390
152,101
153,102
154,251
156,281
157,210
158,477
159,383
160,265
161,282
162,20
163,356
164,354
166,349
167,303
168,54
169,130
170,278
171,216
172,270
173,252
174,337
175,255
176,253
177,268
178,211
179,311
180,281
181,370
182,364
183,246
184,235
185,101
186,166
187,102
188,439
189,390
190,149
191,154
192,460
193,248
194,334
195,197
196,469
197,161
198,259
199,217
200,262
201,201
202,103
203,268
204,142
205,320
206,202
207,142
208,277
209,107
210,217
211,175
212,38
213,474
214,447
215,528
216,620
217,178
218,293
219,141
220,211
221,194
222,301
223,451
224,608
225,125
226,199
227,100
228,350
229,348
231,411
232,222
233,365
234,213
235,231
236,149
237,59
238,235
239,320
240,189
241,377
242,303
243,48
244,295
245,177
246,384
247,106
248,431
249,186
250,374
251,221
252,199
253,275
254,273
255,21
256,545
257,240
258,231
259,376
260,251
261,251
262,400
263,201
264,251
265,354
266,421
267,138
268,335
269,385
270,51
271,428
272,264
273,334
274,183
275,404
276,197
277,149
278,146
279,147
280,64
281,262
282,143
283,287
284,317
285,102
286,166
287,293
288,290
289,202
290,102
291,325
292,109
293,410
294,89
295,264
296,309
297,470
298,264
299,434
300,169
301,94
302,123
303,254
304,299
305,202
306,125
307,225
308,243
309,260
310,341
311,617
312,307
313,366
314,334
315,82
316,392
317,226
318,156
319,67
320,305
321,167
322,373
323,382
324,137
325,401
326,256
327,75
328,142
329,89
331,311
332,442
333,169
334,194
335,277
336,297
337,429
339,129
340,114
341,283
342,232
343,126
344,384
345,271
346,522
347,185
348,231
349,119
350,602
351,192
352,266
353,387
354,278
355,236
356,404
358,296
359,193
360,372
361,336
362,515
363,287
364,6
365,155
366,358
367,517
368,435
370,319
371,325
372,380
373,263
374,278
376,351
377,221
378,79
379,233
380,172
381,245
382,648
383,108
384,169
385,149
386,290
387,83
388,418
389,309
390,65
391,298
392,120
393,190
394,361
395,148
396,410
397,136
398,391
399,404
400,274
401,134
402,340
404,246
405,72
406,183
407,76
408,456
409,263
410,237
411,314
412,535
413,92
415,131
416,412
417,400
418,111
419,167
420,231
421,114
422,298
423,636
424,258
425,79
426,297
427,314
428,184
429,241
430,200
431,150
432,182
433,258
434,376
435,319
436,265
437,77
438,186
439,139
440,166
441,421
442,125
445,152
446,70
447,250
448,118
449,161
450,256
451,259
452,487
453,360
454,61
455,173
456,277
457,221
458,391
459,312
460,159
461,54
462,371
463,393
464,144
465,394
466,272
467,286
468,367
469,94
470,155
471,384
472,377
473,354
474,261
475,314
476,189
477,366
478,302
479,158
480,191
481,172
482,343
483,301
484,285
485,407
486,213
487,356
488,395
489,245
490,31
491,130
492,404
493,185
494,131
495,389
496,518
497,300
498,158
499,121
