,FICE,FSNOW,PRS,RFR,OCM,OCS,TCT,VCM,PPQ,SIAE
0,8.59542041126,2.55680860267,6.66101845457,0.514181341947,-1.0,0.0,0.0,0.922757511894,0.511663365242,1.42292035898
1,11.0315849519,5.39955848073,5.23692048664,0.273413843143,-1.0,0.0,1.0,0.977794635555,0.310143145929,2.85072418075
2,11.0025589343,2.23069600645,5.56142893874,0.435554645791,-1.0,-1.0,0.0,1.09717673418,0.37081602971,1.86769060438
3,6.4175734654,4.40882735258,5.48876526823,0.367118769217,-1.0,0.0,-1.0,1.01417285928,0.542247998594,2.18344359016
4,6.56796117615,4.88352269394,5.68012637146,0.613477575634,-1.0,0.0,-1.0,1.15529407881,0.255017062211,2.00777390664
5,7.4825075297,5.3415779429,6.68081544955,0.329508601348,1.0,1.0,0.0,1.09470960223,0.716952145634,2.47961942767
6,6.13243654244,4.08644650981,5.65741828891,0.759175503529,1.0,0.0,1.0,1.15718498134,0.47754182188,2.43978646131
7,7.45873475734,4.4672102004,6.59510351068,0.327274723463,-1.0,0.0,0.0,1.02890510213,0.537398384483,2.59096163393
8,11.3994924397,3.93137126456,6.34998462319,0.450696561917,0.0,1.0,1.0,1.07408924805,0.880178655143,1.51677369021
9,6.80215277443,3.61767121214,5.07570117109,0.589879268326,-1.0,-1.0,1.0,1.03008432702,0.643598821169,3.17380917879
10,8.05496801734,5.98113022261,6.49681985866,0.286119055707,-1.0,-1.0,-1.0,1.2429122955,0.39752594005,1.71296014911
11,10.6186330265,4.03625062989,6.76419280989,0.598592524409,0.0,1.0,1.0,1.28684199317,0.57554838625,1.59549046266
12,10.0180489711,5.11330235401,5.32784812336,0.311130040026,0.0,-1.0,-1.0,1.15125650177,0.658807156262,4.30484166122
13,10.3657620862,5.67676869705,6.60136984928,0.254973518715,1.0,1.0,1.0,0.918369735423,0.735602676793,2.12702737541
14,10.8190292532,4.18311093425,6.5678242567,0.318985092959,-1.0,0.0,0.0,1.03523617665,0.564025521049,2.44448997021
15,9.90844873931,3.79145620531,5.50157686582,0.334915763719,1.0,1.0,0.0,1.08017742219,0.56153058406,1.34435836572
16,7.83432069122,3.84145386042,6.68421435727,0.47705612288,1.0,-1.0,0.0,1.07359455866,0.933705768808,1.9034248989
