,GCM,FICE,FSNOW,PRS,RFR,OCM,OCS,TCT,VCM,PPQ,SIAE
0,2.0,10.847318080334986,4.813073995050518,5.265156786695574,0.5582759479696813,0.0,-1.0,0.0,1.1428823587066754,0.5791090495874357,1.8034805476494127
1,0.0,7.9678575154668305,3.710420066080051,6.01650965382407,0.385681048742544,0.0,1.0,1.0,1.321589274094229,0.5778212552205342,1.5476536772683949
2,0.0,11.685130902703735,4.193404699253854,5.943651387518688,0.5918815167155507,1.0,1.0,0.0,1.066360703895413,0.7584668218476386,4.3735415144026835
3,3.0,7.942678925130732,4.7388322256191175,6.206432878445767,0.5728746895914092,-1.0,0.0,1.0,1.0200672462026743,0.5077768316854985,2.156418432341242
4,0.0,9.439141953162592,4.78897087088035,5.499988540304903,0.6008374314159256,-1.0,1.0,0.0,1.1991116879134016,0.4745154198701477,1.6808834227426868
5,0.0,4.172298251526727,3.2223115313449777,6.109186435439151,0.5057871305554761,1.0,1.0,-1.0,1.1359790003859533,0.3104455197305846,1.3137458574182304
6,0.0,11.21681626335703,3.784215378856654,6.41528315639283,0.3330667522207119,-1.0,0.0,-1.0,0.8091760145910432,0.3947514827070948,1.8778673470994387
7,3.0,5.724123885822733,2.4856326486124303,5.568076820728521,0.5325667697848371,-1.0,-1.0,1.0,1.2453196621612492,0.8488823705630881,1.3612552208316635
8,3.0,6.497301656450784,5.822303954065095,6.666952584012976,0.38067123560988925,-1.0,1.0,-1.0,0.6599400701987002,0.5696777413467972,1.8531090154082075
9,2.0,9.818980365749924,5.457099055570234,5.318813369988438,0.5067608740134222,1.0,1.0,-1.0,0.8857269874590462,0.6765069479043723,2.516892030016696
10,1.0,6.340905595080846,5.834468078473889,6.901123414967764,0.37327312809963953,-1.0,-1.0,1.0,1.0226856109982276,0.42576709403509083,1.1103295980468058
11,0.0,5.207797997200732,4.20550759365387,5.262116506297561,0.4180728543181345,1.0,1.0,0.0,0.9851674730194315,0.7685551463019801,1.0790364630647424
12,1.0,9.562981988414052,2.4940694587556154,6.98962181270543,0.4634065071094774,1.0,0.0,-1.0,1.1855757031138892,0.3870146606493998,3.207643482375978
13,0.0,8.181732863958423,5.251094535811389,6.343527007744824,0.31800681889025184,0.0,1.0,-1.0,1.2109791293229353,0.5010489711024633,1.4990567543735391
14,1.0,9.545965579512426,4.410203148121473,6.9471904201345,0.6653025087016854,-1.0,0.0,1.0,1.1870428517822416,0.3304078461918244,3.6969255255594367
15,2.0,9.355020679474544,4.185556470319453,5.434053204590105,0.4037947062827653,1.0,0.0,-1.0,1.2888575448417334,0.7390752573210201,1.5959530297242561
16,1.0,4.591126142800904,2.2844438214708296,6.3413670878522135,0.47399198751175325,1.0,1.0,-1.0,1.087957277600107,0.42419999456689983,2.124550649647035
17,1.0,4.257047996068311,4.754361743512823,5.0818968581711825,0.5428608526868018,1.0,0.0,0.0,1.2151680536892235,0.6755382987476578,1.1846186474458853
18,2.0,9.659307659677802,2.952105456476596,5.481174957272486,0.7114547558657042,-1.0,1.0,1.0,0.8488854407123334,0.713132460915513,2.852913776374489
19,3.0,9.988183129127634,3.7406474416417845,6.100031703700605,0.5462776951468894,1.0,-1.0,1.0,0.9190910819104346,0.4584490068392356,1.1517295788664286
20,2.0,8.042031176922787,4.212045677489759,6.833433142343129,0.4659223600471554,-1.0,1.0,-1.0,1.2164167629491192,0.5730702071985583,2.100777447519003
21,0.0,10.423325104384658,3.59768127317699,5.106539414618111,0.6044164968589555,1.0,-1.0,-1.0,1.1934280027227206,0.5060664994955151,1.2450738222819289
22,1.0,4.98234919752028,5.417729477434245,5.356063657590622,0.7077043989958467,1.0,0.0,1.0,1.2259006455723909,0.4758024128737368,2.060180632390459
23,3.0,9.323195123739335,3.4119971553794755,5.632375905145913,0.5517329870508901,0.0,0.0,1.0,1.0524961488900864,0.3755946920279532,1.0526273675304205
24,0.0,7.805676913560752,5.393112478030059,6.934658703138724,0.6720402689180309,-1.0,0.0,-1.0,0.7804956696438168,0.41518726920246285,2.8747429307177867
25,2.0,7.825342343728051,5.340697560961283,6.156361849623933,0.6183893514660522,1.0,-1.0,0.0,1.0512032245763998,0.3988766134255322,1.1682923194223311
26,3.0,5.381062502659027,4.71092226283635,5.130596288614451,0.38169143695840524,0.0,-1.0,0.0,1.2544017979011508,0.8128718537564119,1.2389663017459969
27,2.0,4.775335319767057,2.9805164939330537,5.768655529672273,0.5783205848085458,-1.0,0.0,1.0,1.1006785568455013,0.4720064329684913,1.6658778545539334
28,3.0,4.685063565212185,4.216701394665998,6.7293035845153995,0.4011802321999529,0.0,1.0,0.0,0.7962529077002807,0.44424879502267656,2.8406164539723378
29,0.0,4.425507070185612,3.862431801108432,6.712167750668391,0.7401931636451382,1.0,1.0,-1.0,1.1532901340548518,0.49912171045088133,2.079375409792825
30,2.0,6.225802843628415,4.769877589506556,5.411246676707541,0.6376128188719298,-1.0,1.0,0.0,0.9650250838120303,0.3510753468123132,1.332925716025799
31,1.0,4.068082718192016,3.233910034616504,5.051381749125216,0.6260236344233412,1.0,-1.0,1.0,1.2284276460028025,0.7353628048924759,2.737489064130488
32,2.0,8.848192633221068,2.991117792624385,6.567267229853619,0.5740954000044285,-1.0,-1.0,0.0,1.0183595361290123,0.4635268652058897,3.0781409506561004
33,3.0,8.495855550806548,3.640778976397922,5.259645721268761,0.5407496560413887,0.0,0.0,-1.0,0.8834406015502358,0.5771489488140359,1.1813433219300609
34,0.0,8.676503146826796,5.2733950710273785,6.1633300965626105,0.5801833154495385,1.0,1.0,1.0,1.0386175218558151,0.7085816407238726,2.2341253882996783
35,0.0,7.3485234538388715,2.5777693465781146,5.468308931106045,0.34006217005905903,-1.0,0.0,-1.0,1.0173062105302944,0.6549020423101272,1.9515374140938848
