# run,dgmsl(mm)
0,4030
1,1910
2,3624
3,4622
4,4082
5,3582
6,4284
7,3715
8,3725
9,4136
10,2227
11,2938
12,4840
13,2893
15,1864
16,3831
17,3586
18,2942
19,1928
20,4020
21,2149
22,2676
23,3835
24,4751
25,3346
26,3842
27,4196
28,2498
29,3004
31,4068
32,2496
33,3656
34,3082
35,3237
36,2618
37,2963
38,3407
39,3091
40,2224
41,3417
42,4789
43,2707
45,4343
47,4463
48,4461
49,3400
50,3816
51,3499
52,3093
53,2576
54,2578
55,4239
56,2881
57,2080
58,4946
59,3220
60,2274
61,4321
62,3531
63,3003
64,3536
65,3743
66,2267
67,4733
68,3759
70,2969
71,4685
72,4195
73,4121
75,3732
77,2977
78,2310
79,2470
80,3478
81,2744
82,4982
83,3390
84,3209
85,4516
86,2375
87,3738
88,3090
89,2006
90,3687
91,4081
92,4506
93,3533
94,4094
96,3414
97,2783
98,2818
99,5067
100,3984
101,4495
102,4584
103,3941
104,4919
105,3589
106,2521
107,3726
108,3742
109,3257
110,2746
111,2611
112,3908
113,3459
114,2318
115,2646
116,3242
117,3446
118,2467
119,3273
120,4070
121,4673
122,2830
123,3467
124,3197
125,2883
126,4371
127,2380
128,4390
129,3139
130,3396
131,2686
132,2042
133,3083
134,3510
135,2733
136,2227
137,4301
138,2650
139,4121
140,3545
141,2928
142,4606
143,3843
144,3671
145,3423
146,2952
147,3274
149,4076
150,3178
151,5042
152,2975
153,2901
154,3551
156,3867
157,3819
158,4633
159,4429
160,3596
161,4062
162,2039
163,4269
164,4446
166,3081
167,3837
168,2577
169,2345
170,2767
171,3752
172,3439
173,3138
175,2962
176,3409
177,3630
178,2889
179,3989
180,4157
181,4499
182,4493
183,2594
184,3596
185,2953
186,3303
187,1909
188,4776
189,4467
190,2699
191,2632
192,3794
193,2607
194,4497
195,3679
196,4892
197,3118
198,3062
199,3538
200,3589
201,3601
202,2529
203,3568
204,2790
205,4373
206,3614
207,2359
208,3672
209,2967
210,3092
211,3280
212,1901
213,4766
214,4736
215,4541
216,5487
217,3498
218,4374
219,2318
220,3722
221,3241
222,4106
223,4587
225,2652
226,3596
227,2836
229,3822
230,2328
231,4864
232,3950
233,4389
234,3508
235,2242
236,3093
237,2295
238,3163
239,4159
240,3461
241,3284
242,2962
243,1904
244,4221
245,3558
246,3762
247,2002
248,3824
249,3799
250,4569
251,3132
252,2632
253,3468
254,3749
255,1703
256,5097
257,3574
258,4078
259,4340
260,3709
261,3198
262,4583
263,2909
264,3978
265,4476
266,4153
267,1771
268,3685
269,4452
270,2035
271,4198
272,3855
273,3540
274,3210
275,4683
276,3044
277,3121
278,2202
279,2799
280,2151
281,4138
282,2772
283,4028
284,3599
285,2183
286,3546
287,3897
288,3705
289,2764
290,2121
291,3638
292,2816
293,4418
294,2571
295,3093
296,3781
297,4134
298,3699
299,4308
300,3124
301,2644
302,2745
303,3642
304,3514
305,3356
306,2899
307,3359
308,3439
309,3233
310,3861
311,5058
313,4528
314,4939
315,2151
316,4548
317,3276
318,2708
319,2223
320,3130
321,2755
322,3456
323,3228
324,2754
325,4778
326,4199
327,2361
329,2659
330,4056
331,4356
332,4322
333,2590
334,2396
335,3718
336,4349
337,4528
338,4305
340,2082
341,2543
342,4069
343,2654
344,4327
345,4242
346,4681
347,2659
348,3758
349,2882
350,3880
351,2866
352,3519
353,4461
354,3877
355,2843
358,4037
359,3792
360,4614
361,4299
363,3906
364,1784
365,3221
366,4282
368,4229
371,4448
372,4388
373,3342
374,3484
375,4075
376,4712
377,2487
378,2636
379,3089
380,3477
381,3898
382,5208
383,3204
384,3018
385,3313
386,3479
387,2108
388,4206
389,4263
390,2322
391,2858
392,3098
393,2827
394,4493
395,2413
397,2776
398,4115
399,4188
400,3941
401,2789
402,3619
403,2199
404,2452
405,2581
406,3090
407,2335
408,4924
409,3675
410,2499
411,3850
412,5217
413,2285
414,4477
415,2968
416,4496
417,4558
418,2234
419,2515
420,3853
421,2641
422,4007
423,5205
425,2271
426,4181
427,4217
428,2936
430,3810
431,2945
432,3086
433,3618
434,4326
435,3858
436,3156
437,2286
438,3626
439,2907
440,3100
441,3904
442,3123
444,3721
445,2472
446,1874
447,4043
448,2656
450,3370
451,4400
452,4605
453,4510
454,2858
455,3592
456,3186
457,3599
459,3779
460,3136
461,1856
462,3790
463,3888
464,2545
466,4292
467,4170
468,4494
469,2154
470,3284
471,4104
472,3297
473,4071
474,3890
475,3496
476,3748
477,3802
478,3965
479,3398
480,3013
481,2066
482,4599
483,2386
484,3511
485,4655
486,2686
487,3104
488,4523
489,3144
490,1991
491,3100
492,3612
493,2510
494,2639
495,4753
496,4993
497,4418
498,3192
499,3286
