# run,dgmsl(mm)
0,959
1,346
2,672
3,1258
4,890
5,804
6,1026
7,867
8,756
9,961
10,442
11,618
12,1164
13,666
15,323
16,804
17,802
18,593
19,419
20,897
21,431
22,551
23,925
24,1208
25,724
26,923
27,1029
28,505
29,615
31,1066
32,604
33,889
34,694
35,727
36,590
37,757
38,899
39,629
40,512
41,720
42,1236
43,522
45,1146
47,1081
48,1188
49,727
50,896
51,898
52,719
53,512
54,459
55,916
56,620
57,447
58,1222
59,757
60,484
61,1099
62,822
63,670
64,895
65,841
66,528
67,1244
68,816
70,656
71,1271
72,984
73,947
75,863
77,617
78,472
79,466
80,780
81,507
82,1302
83,741
84,679
85,1157
86,598
87,866
88,727
89,317
90,819
91,970
92,1158
93,764
94,985
96,839
97,654
98,615
99,1282
100,1006
101,1099
102,1197
103,1002
104,1358
105,840
106,511
107,824
108,914
109,866
110,624
111,558
112,904
113,775
114,566
115,625
116,680
117,814
118,527
119,690
120,1012
121,1186
122,613
123,680
124,717
125,657
126,956
127,482
128,984
129,752
130,749
131,548
132,441
133,661
134,799
135,506
136,509
137,1089
138,571
139,999
140,842
141,658
142,1135
143,941
144,903
145,1008
146,690
147,734
149,897
150,723
151,1132
152,614
153,553
154,859
156,881
157,825
158,1208
159,1094
160,827
161,987
162,353
163,1075
164,1092
166,810
167,945
168,497
169,512
170,665
171,828
172,819
173,754
175,649
176,806
177,834
178,670
179,981
180,985
181,1106
182,1020
183,643
184,834
185,595
186,683
187,400
188,1257
189,1085
190,580
191,577
192,1041
193,650
194,1043
195,822
196,1257
197,691
198,751
199,818
200,839
201,823
202,522
203,832
204,595
205,966
206,795
207,519
208,880
209,572
210,641
211,738
212,365
213,1273
214,1269
215,1190
216,1520
217,778
218,1026
219,519
220,761
221,687
222,1003
223,1212
225,575
226,766
227,551
229,934
230,495
231,1238
232,847
233,1087
234,777
235,531
236,664
237,456
238,711
239,988
240,771
241,875
242,744
243,368
244,991
245,789
246,989
247,433
248,1007
249,804
250,1145
251,750
252,621
253,746
254,889
255,281
256,1415
257,827
258,916
259,1079
260,750
261,744
262,1205
263,685
264,919
265,1113
266,1048
267,412
268,885
269,1120
270,389
271,1076
272,905
273,887
274,701
275,1161
276,711
277,668
278,462
279,596
280,431
281,914
282,585
283,948
284,874
285,418
286,728
287,887
288,884
289,647
290,455
291,915
292,588
293,1144
294,524
295,771
296,901
297,1086
298,873
299,1153
300,694
301,548
302,570
303,843
304,842
305,758
306,622
307,781
308,811
309,787
310,928
311,1427
313,1151
314,1180
315,425
316,1138
317,768
318,602
319,440
320,783
321,604
322,907
323,824
324,610
325,1176
326,927
327,469
329,547
330,919
331,1019
332,1102
333,599
334,563
335,894
336,1050
337,1168
338,1076
340,466
341,667
342,938
343,573
344,1104
345,996
346,1262
347,613
348,864
349,573
350,1137
351,653
352,838
353,1149
354,924
355,677
358,925
359,787
360,1098
361,1035
363,934
364,327
365,642
366,1047
368,1071
371,1081
372,1067
373,777
374,836
375,953
376,1158
377,607
378,501
379,702
380,754
381,882
382,1463
383,665
384,659
385,717
386,829
387,424
388,1057
389,936
390,467
391,740
392,587
393,634
394,1121
395,529
397,600
398,986
399,1085
400,932
401,564
402,892
403,417
404,608
405,505
406,691
407,461
408,1267
409,844
410,611
411,915
412,1407
413,466
414,1271
415,631
416,1127
417,1196
418,477
419,569
420,904
421,506
422,949
423,1466
425,469
426,959
427,1006
428,611
430,791
431,601
432,696
433,863
434,1099
435,972
436,768
437,456
438,797
439,600
440,694
441,970
442,667
444,965
445,512
446,343
447,950
448,553
450,775
451,982
452,1203
453,1111
454,519
455,755
456,792
457,843
459,895
460,695
461,369
462,924
463,1023
464,520
466,1012
467,998
468,1094
469,449
470,680
471,1054
472,875
473,996
474,910
475,894
476,798
477,943
478,948
479,707
480,654
481,479
482,1067
483,627
484,819
485,1223
486,611
487,793
488,1162
489,760
490,366
491,605
492,953
493,580
494,594
495,1188
496,1313
497,1063
498,702
499,647
