# run,dgmsl(mm)
0,3999
1,1711
2,3592
3,4888
4,3940
5,3583
6,4288
7,3584
8,3739
9,4186
10,1935
11,2756
12,5002
13,2793
14,3482
15,1534
16,3807
17,3356
18,2856
19,1697
20,3937
21,1875
22,2438
23,3794
24,4871
25,3277
26,3689
27,4354
28,2265
29,2853
31,4186
32,2383
33,3759
34,3008
35,3215
36,2456
37,2911
38,3495
39,2996
40,1994
41,3323
42,4968
43,2575
44,4445
45,4315
46,4359
47,4585
48,4614
49,3153
50,3697
51,3566
52,2971
53,2420
54,2427
55,4196
56,2675
57,1843
58,5151
59,3078
60,2151
61,4275
62,3455
63,2854
64,3565
65,3552
66,2147
67,4900
68,3712
69,4071
70,2810
72,4128
73,3941
74,2393
75,3707
76,4369
77,2938
78,2124
79,2287
80,3357
81,2692
82,5196
83,3261
84,3141
85,4566
86,2250
87,3771
88,2895
89,1690
90,3517
91,3872
92,4597
93,3414
94,4118
95,2192
96,3373
97,2774
98,2681
99,5227
100,3983
101,4463
102,4815
103,3938
104,5070
105,3477
106,2300
107,3582
108,3711
109,3301
110,2658
111,2405
112,3777
113,3333
114,2222
115,2495
116,3065
117,3302
118,2294
119,3019
120,4119
121,4665
122,2718
123,3403
124,3022
125,2799
126,4299
127,2216
128,4469
129,3016
130,3387
131,2435
132,1852
134,3298
135,2482
136,2070
137,4449
138,2537
139,4089
140,3480
141,2845
142,4530
143,3829
144,3709
145,3647
146,2821
147,3080
148,3229
149,4065
150,3113
151,5198
152,2679
153,2768
154,3559
156,3979
157,3675
158,4817
159,4561
160,3560
161,3878
162,1793
163,4267
164,4491
165,3307
166,3166
167,3774
168,2311
169,2161
170,2788
171,3671
172,3366
173,2994
174,3394
175,2955
176,3309
177,3586
178,2844
179,3862
180,4030
181,4575
182,4628
183,2505
184,3426
185,2713
186,3181
187,1672
188,4837
189,4577
190,2565
191,2484
193,2477
194,4578
195,3459
196,5061
197,2939
198,2951
199,3389
200,3581
201,3345
202,2316
203,3490
204,2712
205,4499
206,3527
207,2202
208,3587
209,2805
210,3123
211,3080
212,1641
213,4878
214,4811
215,4770
216,5747
217,3270
218,4307
219,2082
220,3676
221,3149
222,3940
223,4680
224,4945
225,2407
226,3537
227,2697
229,3786
230,2104
231,4942
232,3867
233,4428
234,3389
235,2196
236,2941
237,2023
238,3108
239,4191
240,3281
241,3353
242,2938
243,1629
244,4266
245,3323
246,3735
247,1791
248,3937
249,3680
250,4648
251,3065
252,2559
253,3568
254,3681
255,1493
256,5289
257,3448
258,3935
259,4366
260,3747
261,3100
262,4505
263,2745
264,3854
265,4512
266,4233
267,1551
268,3748
269,4496
270,1801
271,4265
272,3667
273,3564
274,3109
275,4781
276,2902
277,2929
278,2115
279,2711
280,1920
281,4181
282,2628
283,4038
284,3612
285,2040
286,3458
287,3918
288,3800
289,2636
290,1869
291,3599
292,2560
293,4476
294,2329
295,2985
296,3765
297,4356
298,3597
299,4336
300,3000
301,2431
302,2616
303,3517
304,3484
305,3198
306,2679
307,3219
308,3350
309,3234
310,3865
311,5295
313,4513
314,4980
315,1970
316,4651
317,3224
318,2538
319,1989
320,3055
321,2731
322,3486
323,3344
324,2554
325,4913
326,4170
327,2142
328,2833
329,2376
330,4025
331,4384
332,4446
333,2510
334,2284
335,3635
336,4292
337,4643
338,4166
339,2715
340,1878
341,2536
342,3866
343,2493
344,4325
345,4199
347,2459
348,3605
349,2751
351,2808
352,3384
353,4481
354,3809
355,2771
356,3310
357,4207
358,4013
359,3690
361,4369
362,4386
363,3800
364,1478
365,3118
366,4275
367,4693
368,4348
369,4602
370,2529
371,4379
372,4524
373,3231
374,3441
375,3973
376,4697
377,2363
378,2445
379,3029
380,3310
381,3785
382,5484
383,2994
384,2883
385,3059
386,3423
387,1937
388,4335
389,4330
390,2096
391,2867
392,2969
393,2752
394,4584
395,2309
396,3574
397,2579
398,4280
399,4246
400,3829
401,2689
402,3598
403,1942
404,2418
405,2346
406,3029
407,2161
408,5063
409,3674
410,2442
411,3808
412,5427
413,2031
415,2751
416,4576
417,4532
418,2097
419,2339
420,3628
421,2517
422,3978
424,3748
425,2021
426,4246
427,4252
428,2916
429,2192
430,3747
431,2891
432,2867
433,3528
434,4366
435,3817
436,3099
437,2055
438,3436
439,2785
440,2908
441,4078
442,2922
443,2540
444,3730
445,2433
446,1710
447,3868
448,2463
449,3333
450,3342
451,4376
452,4815
453,4514
454,2659
455,3447
456,3191
457,3499
458,2703
459,3803
460,2965
461,1618
462,3878
463,3903
464,2446
465,3056
466,4220
467,4107
468,4557
469,1912
470,3120
471,4091
472,3370
473,4052
474,3738
475,3516
476,3598
477,3820
478,4015
479,3354
480,2953
481,1911
482,4683
483,2323
484,3468
485,4629
486,2605
487,3148
488,4549
489,3034
490,1725
491,2990
492,3650
493,2405
494,2408
495,4857
496,5201
497,4366
498,2944
499,3165
