# run,dgmsl(mm)
0,1769
1,627
2,1404
3,2335
4,1682
5,1531
6,1906
7,1564
8,1493
9,1813
10,785
11,1147
12,2320
13,1212
14,1561
15,559
16,1568
17,1457
18,1151
19,712
20,1694
21,749
22,986
23,1650
24,2292
25,1353
26,1659
27,1937
28,927
29,1127
31,1906
32,1072
33,1615
34,1286
35,1373
36,1063
37,1325
38,1604
39,1218
40,879
41,1380
42,2333
43,1013
44,2024
45,2055
46,2049
47,2056
48,2183
49,1321
50,1629
51,1610
52,1286
53,969
54,882
55,1773
56,1130
57,770
58,2402
59,1348
60,894
61,2002
62,1501
63,1216
64,1607
65,1546
66,933
67,2332
68,1572
69,1843
70,1174
72,1841
73,1750
74,1153
75,1604
76,2032
77,1169
78,863
79,877
80,1414
81,1021
82,2506
83,1387
84,1245
85,2136
86,1033
87,1592
88,1283
89,569
90,1522
91,1760
92,2133
93,1433
94,1844
95,1055
96,1496
97,1205
98,1115
99,2489
100,1820
101,2046
102,2245
103,1804
104,2514
105,1518
106,918
107,1537
108,1654
109,1525
110,1136
111,1007
112,1666
113,1422
114,1002
115,1091
116,1270
117,1458
118,953
119,1264
120,1833
121,2196
122,1136
123,1372
124,1291
125,1195
126,1849
127,896
128,1949
129,1340
130,1377
131,986
132,772
134,1431
135,959
136,902
137,2013
138,1059
139,1826
140,1529
141,1210
142,2101
143,1694
144,1648
145,1779
146,1231
147,1327
148,1432
149,1738
150,1296
151,2357
152,1120
153,1047
154,1577
156,1723
157,1553
158,2271
159,2080
160,1540
161,1772
162,653
163,1966
164,2042
165,1534
166,1459
167,1699
168,903
169,915
170,1209
171,1546
172,1476
173,1326
174,1503
175,1258
176,1432
177,1530
178,1193
179,1763
180,1808
181,2090
182,2024
183,1137
184,1505
185,1093
186,1302
187,678
188,2324
189,2067
190,1070
191,1052
193,1126
194,2032
195,1501
196,2404
197,1231
198,1319
199,1482
200,1557
201,1482
202,950
203,1502
204,1081
205,1951
206,1477
207,937
208,1582
209,1093
210,1265
211,1339
212,633
213,2351
214,2333
215,2204
216,2966
217,1409
218,1920
219,902
220,1510
221,1307
222,1812
223,2224
224,2300
225,1003
226,1465
227,1036
229,1679
230,880
231,2350
232,1634
233,2009
234,1441
235,980
236,1217
237,813
238,1314
239,1859
240,1415
241,1549
242,1329
243,641
244,1890
245,1434
246,1730
247,752
248,1793
249,1537
250,2164
251,1354
252,1124
253,1494
254,1625
255,514
256,2674
257,1501
258,1721
259,1994
260,1539
261,1327
262,2176
263,1206
264,1705
265,2074
266,1907
267,686
268,1651
269,2066
270,694
271,1940
272,1637
273,1588
274,1303
275,2202
276,1277
277,1211
278,857
279,1085
280,764
281,1791
282,1095
283,1782
284,1597
285,782
286,1394
287,1645
288,1668
289,1133
290,786
291,1623
292,1069
293,2083
294,955
295,1347
296,1643
297,2035
298,1579
299,2063
300,1250
301,952
302,1017
303,1530
304,1517
305,1376
306,1134
307,1388
308,1473
309,1435
310,1684
311,2656
313,2107
314,2292
315,775
316,2153
317,1350
318,1076
319,789
320,1356
321,1135
322,1599
323,1528
324,1079
325,2271
326,1791
327,844
328,1186
329,990
330,1731
331,1953
332,2026
333,1083
334,975
335,1614
336,1954
337,2177
338,1941
339,1125
340,805
341,1185
342,1729
343,1051
344,2008
345,1874
347,1075
348,1582
349,1096
351,1209
352,1485
353,2105
354,1693
355,1195
356,1531
357,1883
358,1734
359,1516
361,1950
362,2021
363,1677
364,552
365,1261
366,1932
367,2187
368,1979
369,2166
370,1173
371,2006
372,2046
373,1391
374,1517
375,1767
376,2178
377,1066
378,948
379,1300
380,1410
381,1633
382,2791
383,1199
384,1205
385,1313
386,1492
387,772
388,1938
389,1854
390,823
391,1319
392,1147
393,1179
394,2126
395,978
396,1630
397,1092
398,1908
399,1974
400,1705
401,1088
402,1588
403,738
404,1093
405,940
406,1223
407,842
408,2420
409,1554
410,1098
411,1662
412,2714
413,835
415,1151
416,2104
417,2176
418,860
419,1014
420,1631
421,973
422,1756
424,1682
425,817
426,1854
427,1901
428,1160
429,1010
430,1543
431,1139
432,1220
433,1564
434,2018
435,1750
436,1375
437,822
438,1468
439,1121
440,1257
441,1838
442,1202
443,1257
444,1693
445,968
446,631
447,1742
448,1021
449,1311
450,1432
451,1903
452,2259
453,2061
454,1004
455,1425
456,1428
457,1544
458,1342
459,1664
460,1253
461,632
462,1683
463,1813
464,999
465,1424
466,1892
467,1850
468,2066
469,790
470,1285
471,1891
472,1552
473,1817
474,1650
475,1603
476,1520
477,1701
478,1776
479,1319
480,1227
481,832
482,2076
483,1086
484,1495
485,2228
486,1126
487,1444
488,2139
489,1349
490,644
491,1174
492,1673
493,1050
494,1046
495,2272
496,2517
497,1983
498,1261
499,1229
