# run,dgmsl(mm)
0,256
1,76
2,142
3,430
4,215
5,231
6,275
7,231
8,179
9,279
10,91
11,139
12,297
13,183
15,49
16,193
17,189
18,139
19,111
20,217
21,100
22,117
23,286
24,345
25,193
26,245
27,327
28,110
29,138
31,361
32,205
33,292
34,172
35,194
36,156
37,253
38,323
39,151
40,140
41,173
42,387
43,120
45,319
47,324
48,374
49,161
50,232
51,300
52,204
53,120
54,90
55,230
56,143
57,108
58,368
59,212
60,134
61,286
62,221
63,175
64,273
65,196
66,151
67,379
68,199
70,166
71,399
72,232
73,220
75,241
77,153
78,110
79,99
80,196
81,111
82,389
83,170
84,166
85,332
86,199
87,245
88,198
89,37
90,193
91,238
92,346
93,189
94,255
96,247
97,183
98,156
99,365
100,285
101,279
102,398
103,286
104,403
105,228
106,114
107,197
108,258
109,304
110,160
111,131
112,224
113,198
114,207
115,184
116,153
117,215
118,138
119,149
120,325
121,316
122,156
123,150
124,177
125,199
126,233
127,111
128,243
129,201
130,194
131,117
132,114
133,154
134,198
135,96
136,156
137,355
138,160
139,279
140,232
141,179
142,274
143,291
144,273
145,390
146,194
147,182
149,220
150,207
151,294
152,125
153,119
154,229
156,230
157,198
158,367
159,309
160,225
161,252
162,59
163,297
164,291
166,275
167,262
168,95
169,137
170,229
171,205
172,233
173,220
175,198
176,230
177,237
178,196
179,267
180,246
181,300
182,283
183,211
184,211
185,127
186,160
187,117
188,353
189,310
190,148
191,152
192,365
193,215
194,271
195,190
196,366
197,169
198,226
199,207
200,227
201,194
202,119
203,235
204,148
205,250
206,194
207,139
208,245
209,122
210,176
211,174
212,73
213,376
214,359
215,409
216,464
217,180
218,255
219,146
220,181
221,178
222,263
223,358
225,143
226,186
227,118
229,285
230,119
231,327
232,200
233,306
234,196
235,189
236,160
237,97
238,202
239,267
240,182
241,300
242,255
243,80
244,251
245,181
246,317
247,116
248,347
249,186
250,304
251,203
252,176
253,206
254,236
255,45
256,414
257,216
258,218
259,303
260,193
261,222
262,323
263,190
264,226
265,296
266,334
267,135
268,265
269,318
270,80
271,348
272,233
273,279
274,176
275,325
276,186
277,155
278,129
279,150
280,95
281,222
282,140
283,245
284,258
285,103
286,167
287,258
288,246
289,192
290,121
291,274
292,128
293,333
294,114
295,236
296,262
297,356
298,235
299,348
300,172
301,123
302,138
303,228
304,256
305,191
306,144
307,212
308,217
309,225
310,286
311,467
313,309
314,288
315,100
316,315
317,219
318,157
319,100
320,258
321,157
322,299
323,289
324,152
325,323
326,224
327,102
329,114
330,239
331,259
332,351
333,164
334,183
335,239
336,257
337,337
338,275
340,129
341,230
342,213
343,134
344,314
345,237
346,409
347,174
348,210
349,130
350,459
351,173
352,236
353,314
354,241
355,220
358,250
359,186
360,294
361,279
363,258
364,59
365,144
366,297
368,335
371,280
372,300
373,227
374,238
375,238
376,293
377,199
378,103
379,200
380,169
381,224
382,475
383,142
384,167
385,158
386,244
387,104
388,335
389,255
390,103
391,246
392,126
393,172
394,296
395,142
397,142
398,295
399,319
400,239
401,132
402,282
403,86
404,213
405,101
406,190
407,96
408,354
409,235
410,201
411,265
412,406
413,110
414,443
415,142
416,323
417,326
418,118
419,160
420,219
421,110
422,258
423,482
425,107
426,244
427,260
428,167
430,186
431,151
432,182
433,227
434,309
435,269
436,228
437,101
438,185
439,147
440,163
441,316
442,146
444,311
445,131
446,79
447,231
448,127
450,217
451,226
452,374
453,301
454,91
455,172
456,235
457,209
459,256
460,166
461,89
462,302
463,317
464,136
466,242
467,250
468,300
469,117
470,154
471,314
472,304
473,290
474,238
475,266
476,180
477,295
478,260
479,168
480,181
481,157
482,288
483,251
484,244
485,331
486,183
487,275
488,324
489,221
490,70
491,135
492,326
493,168
494,150
495,316
496,393
497,260
498,165
499,140
