# run,dgmsl(mm)
0,502
1,141
2,310
3,792
4,436
5,438
6,548
7,456
8,359
9,536
10,174
11,275
12,619
13,344
14,524
15,90
16,391
17,379
18,277
19,190
20,437
21,177
22,228
23,523
24,688
25,361
26,481
27,609
28,217
29,267
31,647
32,346
33,531
34,331
35,377
36,295
37,440
38,558
39,292
40,247
41,344
42,732
43,240
44,672
45,629
46,725
47,623
48,706
49,322
50,461
51,534
52,377
53,230
54,181
55,454
56,281
57,199
58,706
59,396
60,245
61,586
62,430
63,328
64,507
65,400
66,268
67,731
68,401
69,643
70,317
72,484
73,457
74,426
75,461
76,732
77,296
78,207
79,194
80,385
81,236
82,762
83,344
84,320
85,649
86,342
87,465
88,370
89,74
90,385
91,486
92,665
93,371
94,512
95,400
96,453
97,342
98,295
99,728
100,553
101,575
102,737
103,552
104,790
105,436
106,215
107,394
108,495
109,527
110,300
111,252
112,459
113,388
114,338
115,326
116,309
117,413
118,248
119,300
120,594
121,636
122,303
123,320
124,346
125,362
126,474
127,213
128,497
129,380
130,379
131,226
132,205
134,392
135,195
136,274
137,654
138,294
139,544
140,442
141,344
142,576
143,540
144,515
145,673
146,359
147,356
148,468
149,449
150,382
151,618
152,253
153,232
154,442
156,461
157,400
158,709
159,605
160,438
161,506
162,117
163,591
164,582
165,546
166,492
167,503
168,189
169,249
170,393
171,412
172,440
173,405
174,501
175,367
176,429
177,447
178,353
179,526
180,502
181,601
182,561
183,366
184,416
185,248
186,318
187,191
188,701
189,611
190,278
191,283
193,369
194,548
195,385
196,715
197,325
198,409
199,404
200,437
201,392
202,232
203,442
204,282
205,501
206,391
207,258
208,465
209,242
210,341
211,347
212,137
213,734
214,709
215,747
216,909
217,361
218,520
219,254
220,369
221,339
222,528
223,694
224,810
225,263
226,370
227,234
229,531
230,223
231,671
232,404
233,596
234,383
235,327
236,306
237,180
238,378
239,529
240,365
241,531
242,447
243,145
244,504
245,365
246,576
247,201
248,613
249,375
250,620
251,382
252,320
253,411
254,461
255,101
256,823
257,426
258,446
259,596
260,394
261,402
262,656
263,349
264,458
265,592
266,612
267,224
268,504
269,624
270,153
271,634
272,466
273,506
274,341
275,643
276,358
277,308
278,239
279,280
280,175
281,451
282,275
283,487
284,486
285,196
286,339
287,483
288,476
289,339
290,209
291,510
292,253
293,645
294,219
295,426
296,491
297,665
298,455
299,662
300,331
301,237
302,265
303,441
304,467
305,377
306,277
307,404
308,418
309,419
310,524
311,875
313,616
314,598
315,189
316,622
317,406
318,290
319,183
320,450
321,298
322,537
323,520
324,288
325,641
326,454
327,190
328,289
329,226
330,476
331,529
332,652
333,297
334,306
335,466
336,532
337,663
338,558
339,269
340,223
341,409
342,452
343,260
344,613
345,493
347,315
348,426
349,257
351,331
352,447
353,632
354,476
355,379
356,544
357,654
358,490
359,372
361,554
362,697
363,498
364,107
365,294
366,581
367,730
368,631
369,801
370,424
371,568
372,587
373,418
374,450
375,484
376,609
377,335
378,204
379,375
380,343
381,446
382,903
383,282
384,322
385,320
386,461
387,187
388,621
389,504
390,190
391,432
392,256
393,321
394,594
395,269
396,568
397,276
398,568
399,617
400,478
401,264
402,512
403,156
404,360
405,202
406,350
407,193
408,712
409,449
410,355
411,502
412,814
413,199
415,279
416,636
417,654
418,219
419,288
420,439
421,224
422,504
424,472
425,197
426,493
427,531
428,321
429,338
430,375
431,289
432,341
433,444
434,606
435,525
436,420
437,188
438,373
439,283
440,325
441,588
442,296
443,471
444,559
445,256
446,147
447,468
448,249
449,332
450,413
451,476
452,706
453,598
454,199
455,348
456,432
457,413
458,521
459,490
460,323
461,150
462,548
463,589
464,251
465,523
466,499
467,504
468,597
469,204
470,312
471,598
472,530
473,558
474,475
475,495
476,370
477,545
478,504
479,327
480,329
481,265
482,569
483,400
484,450
485,667
486,330
487,497
488,644
489,405
490,129
491,271
492,571
493,305
494,277
495,640
496,774
497,537
498,322
499,281
