,FICE,FSNOW,PRS,RFR,OCM,OCS,TCT,VCM,PPQ,SIA
0,9.47882402449,2.6076087918,5.20071821007,0.574254690651,1.0,-1.0,0.0,0.649446472587,0.182830280927,1.28549520828
1,7.38456140981,5.75171292892,5.30390748057,0.578293704923,1.0,0.0,0.0,0.614180350038,0.920420359331,1.11032895289
2,10.9751789452,2.26858461797,5.76663189146,0.6177933865,1.0,0.0,0.0,1.20160481068,0.573557218728,1.32726308326
3,7.13465847541,2.71008445779,5.23862872105,0.430027585958,1.0,-1.0,0.0,1.04927936709,1.00853657347,1.02737089011
4,5.53386294718,1.95912044908,5.51325331483,0.711278599292,1.0,-1.0,-1.0,1.0164351567,0.585700076747,2.0457099563
5,7.31466617175,4.12591951709,6.14497891229,0.447803961861,1.0,1.0,-1.0,0.971402574543,0.937765908739,1.16199452767
6,4.16373461629,3.4332158319,5.21234074305,0.687625901695,-1.0,1.0,1.0,0.900024334567,0.71602357936,0.614926133518
7,7.32793245544,4.47721439641,6.3160247642,0.34548958825,1.0,0.0,-1.0,1.26637447265,0.972241686176,1.1035566909
8,9.94938508404,6.73980172489,5.1046267792,0.454406286807,1.0,-1.0,-1.0,0.553591168776,1.15278629706,1.58983743307
9,10.2153157255,5.22089803721,5.76375713535,0.572374026065,1.0,1.0,0.0,1.06558701377,0.171603561246,1.8728352359
10,5.8518245641,5.40846674373,5.02035132834,0.710655158567,0.0,1.0,-1.0,0.890406137251,0.149820130022,0.825283209578
11,9.8086644039,2.47343958993,6.87827862792,0.414573954586,0.0,0.0,0.0,1.14549577785,0.51150813218,1.0380949575
12,12.1125013436,4.43697149733,6.22749152107,0.563109627054,1.0,0.0,-1.0,1.30671806118,0.478124800305,0.932054293581
13,8.3422364524,5.41852986946,6.87052008244,0.0588079243201,1.0,1.0,-1.0,1.08123295714,0.731896754779,1.81530856882
14,5.17520339596,5.94315140238,6.89741591117,0.493964923682,-1.0,0.0,-1.0,1.26610577183,0.37547166171,1.30623642699
15,18.4421448658,6.20693734523,6.72550901123,0.45126777478,-1.0,0.0,0.0,1.34980497438,0.410357979015,0.892847698221
16,5.36890928976,4.69653249561,5.81581110714,0.234327557119,1.0,0.0,0.0,1.40286280832,0.947296276099,0.695448980701
17,9.97155033874,2.61623946875,6.72962052358,0.253332199331,-1.0,0.0,0.0,0.946613914323,0.107863095896,1.21501243582
18,9.15809524679,6.77748955577,5.60209648255,0.509182983126,-1.0,0.0,1.0,1.4267860214,0.32646484748,1.31295326099
19,14.0134169226,4.28570186517,6.04829593756,0.13330445707,-1.0,1.0,0.0,1.62456158778,0.692881838196,1.03273567073
20,14.3732232023,6.37429204109,5.184941573,0.496288591949,-1.0,-1.0,-1.0,1.22425282765,0.812813616742,1.63334742374
21,13.7311832523,5.06571332708,5.63826353457,0.585868202306,-1.0,1.0,0.0,1.09331577913,1.02554594487,0.664255554169
22,11.6036434708,4.55755056534,5.22348897618,0.675923918829,0.0,-1.0,1.0,1.10389393598,0.860260985164,1.51676049221
23,8.74883878825,4.70845895161,5.23599569172,0.624656212429,1.0,0.0,1.0,0.59173590917,0.671897255399,1.53142399366
24,9.20029189282,2.06684040776,5.82641517318,0.249437022844,-1.0,0.0,0.0,1.11362072672,0.156750609299,1.10184091605
25,14.6041086308,3.11516649989,6.4585793966,0.0747390162433,0.0,-1.0,0.0,1.2893412717,0.387650165145,1.29271745758
26,5.30101443857,4.81797047294,6.62033621557,0.641464619207,1.0,-1.0,1.0,0.731608156174,0.822019034297,1.92835214641
27,7.60549846235,2.84810131389,6.07095599485,0.435455389105,0.0,-1.0,1.0,0.339140771413,1.11204528386,0.641944619626
28,3.2810218023,6.00833987879,5.38160515934,0.517023865122,1.0,1.0,0.0,0.991451883503,0.467163038261,1.99550375243
29,6.05563338602,3.90598027825,5.55981285375,0.59228774002,-1.0,0.0,0.0,1.0602955081,0.678400096326,2.12093636209
30,11.1592584709,5.88027775731,5.10380137168,0.386811952842,-1.0,-1.0,0.0,0.62686535675,0.0857564600554,1.2736806147
31,4.53245409357,4.00685028441,6.91334332718,0.502247780301,-1.0,0.0,0.0,0.894194094985,1.04461846955,1.8956495796
32,1.22448442863,4.37043423838,6.63594963492,0.445304710403,1.0,-1.0,1.0,1.1058495906,0.659088083794,1.25145990687
33,4.8080345698,5.08260745142,5.07476146306,0.876083538213,1.0,1.0,1.0,1.17205269537,0.620212558066,2.5009973045
34,15.9555118489,4.97537076442,5.26030977357,0.266627272218,0.0,-1.0,-1.0,0.790510632949,0.699875431629,0.88292233671
35,6.12486302704,3.6246053366,5.40867554664,1.22562809683,1.0,0.0,1.0,0.589770570766,0.518785732969,1.98665246507
36,9.79364934653,2.48598796767,5.28766395996,0.16060586689,0.0,1.0,1.0,1.2094885864,0.345460715201,0.617407731471
37,5.40914840186,5.14845313492,6.41457859455,0.343730084609,1.0,0.0,0.0,0.749107219673,0.352647272275,0.448335934988
38,2.13272995352,3.7655517295,5.80216311804,0.92634164112,-1.0,0.0,0.0,0.981884382592,0.730952297516,2.30819171723
39,10.6449544302,3.65663455946,6.56360681571,0.640789330056,-1.0,1.0,-1.0,1.17938570814,1.03010559475,2.90522950955
40,5.22221235816,1.9211908409,6.40587026884,0.776894042034,0.0,0.0,0.0,1.32579937254,1.01136581542,2.73770882137
41,8.07168869734,3.84832286268,6.41384042709,0.576079804677,-1.0,-1.0,1.0,0.899285022272,0.549887107037,1.57977604526
42,3.09957790956,3.80201300502,5.69732556079,0.389421985485,0.0,0.0,-1.0,1.02169130551,0.590450217739,0.834587853045
43,10.2326904879,4.01461396402,5.35101321429,0.550883607349,0.0,-1.0,0.0,0.733030409762,0.932858831184,0.981588755823
44,11.453339206,5.51345623966,6.4090876017,0.707890311542,-1.0,-1.0,0.0,0.941352271801,0.721962791314,1.0307538216
45,2.81977861988,3.51304521774,6.9902046599,0.511429848225,1.0,0.0,1.0,1.08515590779,1.02725311541,1.24419611568
46,7.34695678891,5.77164712966,5.78143604123,0.616209878356,1.0,1.0,0.0,0.883023319126,0.308632208117,1.43347514865
47,7.56808589398,2.25888904475,5.32031413629,0.584244528438,1.0,0.0,1.0,0.616272540025,0.680828998497,0.486095400048
48,8.890026643,5.15410269377,5.04617697717,0.582209434851,1.0,-1.0,1.0,0.805556015372,0.417300748346,2.28481529998
49,5.8956712477,3.83175796528,5.1962841235,0.553334087466,1.0,0.0,-1.0,0.347653422258,0.272774297576,1.78641547945
50,12.5803947176,3.71445729854,5.65745847768,0.574650312952,-1.0,0.0,-1.0,0.964177616121,0.631566238911,1.41924551137
51,12.2575630236,1.38259815499,5.47585897994,0.646589920759,0.0,0.0,-1.0,0.897638782154,0.313051139195,2.00604702264
52,11.6636073115,3.44064179419,5.75870784262,0.351724744843,0.0,-1.0,1.0,1.05861057248,1.10889119068,2.15918319739
53,6.6630681845,3.58699476643,6.17505469626,0.336192237636,0.0,-1.0,0.0,0.463040018958,0.846296896732,3.36498667264
54,11.8430874838,4.90983134319,5.45843127298,0.717263898226,1.0,0.0,1.0,0.407890227277,0.7956774124,1.64153125722
55,8.86265626649,0.793514063549,6.61638728207,0.418918237957,0.0,-1.0,1.0,1.44478364252,0.477112057362,0.831539228985
56,5.13481848642,4.8968303044,6.24260482299,0.128807017244,0.0,1.0,-1.0,0.658303950278,0.39243845649,1.07238134568
