id,SIAE,SSAN,PPQ,TEFO,PHIMIN,PHIMAX,ZMIN,ZMAX,UTHRESH,SLDL
0,1.6591796875,3.04833984375,0.40927734375,0.0386865234375,15.60546875,44.5361328125,-954.1015625,899.4140625,60.0390625,regularized_coulomb
1,1.2080078125,3.04833984375,0.40927734375,0.0386865234375,15.60546875,44.5361328125,-954.1015625,899.4140625,60.0390625,regularized_coulomb
2,1.6591796875,3.04248046875,0.40927734375,0.0386865234375,15.60546875,44.5361328125,-954.1015625,899.4140625,60.0390625,regularized_coulomb
3,1.6591796875,3.04833984375,0.27744140625,0.0386865234375,15.60546875,44.5361328125,-954.1015625,899.4140625,60.0390625,regularized_coulomb
4,1.6591796875,3.04833984375,0.40927734375,0.020639648437499998,15.60546875,44.5361328125,-954.1015625,899.4140625,60.0390625,regularized_coulomb
5,1.6591796875,3.04833984375,0.40927734375,0.0386865234375,17.67578125,44.5361328125,-954.1015625,899.4140625,60.0390625,regularized_coulomb
6,1.6591796875,3.04833984375,0.40927734375,0.0386865234375,15.60546875,40.7177734375,-954.1015625,899.4140625,60.0390625,regularized_coulomb
7,1.6591796875,3.04833984375,0.40927734375,0.0386865234375,15.60546875,44.5361328125,-629.8828125,899.4140625,60.0390625,regularized_coulomb
8,1.6591796875,3.04833984375,0.40927734375,0.0386865234375,15.60546875,44.5361328125,-954.1015625,719.7265625,60.0390625,regularized_coulomb
9,1.6591796875,3.04833984375,0.40927734375,0.0386865234375,15.60546875,44.5361328125,-954.1015625,899.4140625,53.7890625,regularized_coulomb
10,1.2080078125,3.04248046875,0.27744140625,0.020639648437499998,17.67578125,40.7177734375,-629.8828125,719.7265625,53.7890625,regularized_coulomb
11,3.1591796875,3.29833984375,0.15927734375,0.0211865234375,25.60546875,42.0361328125,-454.1015625,399.4140625,40.0390625,regularized_coulomb
12,2.7080078125,3.29833984375,0.15927734375,0.0211865234375,25.60546875,42.0361328125,-454.1015625,399.4140625,40.0390625,regularized_coulomb
13,3.1591796875,3.29248046875,0.15927734375,0.0211865234375,25.60546875,42.0361328125,-454.1015625,399.4140625,40.0390625,regularized_coulomb
14,3.1591796875,3.29833984375,0.52744140625,0.0211865234375,25.60546875,42.0361328125,-454.1015625,399.4140625,40.0390625,regularized_coulomb
15,3.1591796875,3.29833984375,0.15927734375,0.03813964843750001,25.60546875,42.0361328125,-454.1015625,399.4140625,40.0390625,regularized_coulomb
16,3.1591796875,3.29833984375,0.15927734375,0.0211865234375,27.67578125,42.0361328125,-454.1015625,399.4140625,40.0390625,regularized_coulomb
17,3.1591796875,3.29833984375,0.15927734375,0.0211865234375,25.60546875,43.2177734375,-454.1015625,399.4140625,40.0390625,regularized_coulomb
18,3.1591796875,3.29833984375,0.15927734375,0.0211865234375,25.60546875,42.0361328125,-129.8828125,399.4140625,40.0390625,regularized_coulomb
19,3.1591796875,3.29833984375,0.15927734375,0.0211865234375,25.60546875,42.0361328125,-454.1015625,219.7265625,40.0390625,regularized_coulomb
20,3.1591796875,3.29833984375,0.15927734375,0.0211865234375,25.60546875,42.0361328125,-454.1015625,399.4140625,73.7890625,regularized_coulomb
21,2.7080078125,3.29248046875,0.52744140625,0.03813964843750001,27.67578125,43.2177734375,-129.8828125,219.7265625,73.7890625,regularized_coulomb
22,3.9091796875,3.17333984375,0.53427734375,0.0474365234375,20.60546875,40.7861328125,-704.1015625,149.4140625,50.0390625,regularized_coulomb
23,3.4580078125,3.17333984375,0.53427734375,0.0474365234375,20.60546875,40.7861328125,-704.1015625,149.4140625,50.0390625,regularized_coulomb
24,3.9091796875,3.41748046875,0.53427734375,0.0474365234375,20.60546875,40.7861328125,-704.1015625,149.4140625,50.0390625,regularized_coulomb
25,3.9091796875,3.17333984375,0.40244140625,0.0474365234375,20.60546875,40.7861328125,-704.1015625,149.4140625,50.0390625,regularized_coulomb
26,3.9091796875,3.17333984375,0.53427734375,0.0293896484375,20.60546875,40.7861328125,-704.1015625,149.4140625,50.0390625,regularized_coulomb
27,3.9091796875,3.17333984375,0.53427734375,0.0474365234375,12.67578125,40.7861328125,-704.1015625,149.4140625,50.0390625,regularized_coulomb
28,3.9091796875,3.17333984375,0.53427734375,0.0474365234375,20.60546875,44.4677734375,-704.1015625,149.4140625,50.0390625,regularized_coulomb
29,3.9091796875,3.17333984375,0.53427734375,0.0474365234375,20.60546875,40.7861328125,-879.8828125,149.4140625,50.0390625,regularized_coulomb
30,3.9091796875,3.17333984375,0.53427734375,0.0474365234375,20.60546875,40.7861328125,-704.1015625,469.7265625,50.0390625,regularized_coulomb
31,3.9091796875,3.17333984375,0.53427734375,0.0474365234375,20.60546875,40.7861328125,-704.1015625,149.4140625,43.7890625,regularized_coulomb
32,3.4580078125,3.41748046875,0.40244140625,0.0293896484375,12.67578125,44.4677734375,-879.8828125,469.7265625,43.7890625,regularized_coulomb
33,2.4091796875,3.42333984375,0.28427734375,0.0299365234375,10.60546875,43.2861328125,-204.1015625,649.4140625,70.0390625,regularized_coulomb
34,1.9580078125,3.42333984375,0.28427734375,0.0299365234375,10.60546875,43.2861328125,-204.1015625,649.4140625,70.0390625,regularized_coulomb
35,2.4091796875,3.16748046875,0.28427734375,0.0299365234375,10.60546875,43.2861328125,-204.1015625,649.4140625,70.0390625,regularized_coulomb
36,2.4091796875,3.42333984375,0.15244140625,0.0299365234375,10.60546875,43.2861328125,-204.1015625,649.4140625,70.0390625,regularized_coulomb
37,2.4091796875,3.42333984375,0.28427734375,0.0468896484375,10.60546875,43.2861328125,-204.1015625,649.4140625,70.0390625,regularized_coulomb
38,2.4091796875,3.42333984375,0.28427734375,0.0299365234375,22.67578125,43.2861328125,-204.1015625,649.4140625,70.0390625,regularized_coulomb
39,2.4091796875,3.42333984375,0.28427734375,0.0299365234375,10.60546875,41.9677734375,-204.1015625,649.4140625,70.0390625,regularized_coulomb
40,2.4091796875,3.42333984375,0.28427734375,0.0299365234375,10.60546875,43.2861328125,-379.8828125,649.4140625,70.0390625,regularized_coulomb
41,2.4091796875,3.42333984375,0.28427734375,0.0299365234375,10.60546875,43.2861328125,-204.1015625,969.7265625,70.0390625,regularized_coulomb
42,2.4091796875,3.42333984375,0.28427734375,0.0299365234375,10.60546875,43.2861328125,-204.1015625,649.4140625,63.7890625,regularized_coulomb
43,1.9580078125,3.16748046875,0.15244140625,0.0468896484375,22.67578125,41.9677734375,-379.8828125,969.7265625,63.7890625,regularized_coulomb
44,2.0341796875,3.23583984375,0.22177734375,0.0255615234375,13.10546875,43.9111328125,-579.1015625,24.4140625,55.0390625,regularized_coulomb
45,3.0830078125,3.23583984375,0.22177734375,0.0255615234375,13.10546875,43.9111328125,-579.1015625,24.4140625,55.0390625,regularized_coulomb
46,2.0341796875,3.47998046875,0.22177734375,0.0255615234375,13.10546875,43.9111328125,-579.1015625,24.4140625,55.0390625,regularized_coulomb
47,2.0341796875,3.23583984375,0.21494140625,0.0255615234375,13.10546875,43.9111328125,-579.1015625,24.4140625,55.0390625,regularized_coulomb
48,2.0341796875,3.23583984375,0.22177734375,0.025014648437500002,13.10546875,43.9111328125,-579.1015625,24.4140625,55.0390625,regularized_coulomb
49,2.0341796875,3.23583984375,0.22177734375,0.0255615234375,25.17578125,43.9111328125,-579.1015625,24.4140625,55.0390625,regularized_coulomb
50,2.0341796875,3.23583984375,0.22177734375,0.0255615234375,13.10546875,41.3427734375,-579.1015625,24.4140625,55.0390625,regularized_coulomb
51,2.0341796875,3.23583984375,0.22177734375,0.0255615234375,13.10546875,43.9111328125,-254.8828125,24.4140625,55.0390625,regularized_coulomb
52,2.0341796875,3.23583984375,0.22177734375,0.0255615234375,13.10546875,43.9111328125,-579.1015625,844.7265625,55.0390625,regularized_coulomb
53,2.0341796875,3.23583984375,0.22177734375,0.0255615234375,13.10546875,43.9111328125,-579.1015625,24.4140625,68.7890625,regularized_coulomb
54,3.0830078125,3.47998046875,0.21494140625,0.025014648437500002,25.17578125,41.3427734375,-254.8828125,844.7265625,68.7890625,regularized_coulomb
55,3.5341796875,3.48583984375,0.47177734375,0.0430615234375,23.10546875,41.4111328125,-79.1015625,524.4140625,75.0390625,regularized_coulomb
56,1.5830078125,3.48583984375,0.47177734375,0.0430615234375,23.10546875,41.4111328125,-79.1015625,524.4140625,75.0390625,regularized_coulomb
57,3.5341796875,3.22998046875,0.47177734375,0.0430615234375,23.10546875,41.4111328125,-79.1015625,524.4140625,75.0390625,regularized_coulomb
58,3.5341796875,3.48583984375,0.46494140625,0.0430615234375,23.10546875,41.4111328125,-79.1015625,524.4140625,75.0390625,regularized_coulomb
59,3.5341796875,3.48583984375,0.47177734375,0.042514648437500004,23.10546875,41.4111328125,-79.1015625,524.4140625,75.0390625,regularized_coulomb
60,3.5341796875,3.48583984375,0.47177734375,0.0430615234375,15.17578125,41.4111328125,-79.1015625,524.4140625,75.0390625,regularized_coulomb
61,3.5341796875,3.48583984375,0.47177734375,0.0430615234375,23.10546875,43.8427734375,-79.1015625,524.4140625,75.0390625,regularized_coulomb
62,3.5341796875,3.48583984375,0.47177734375,0.0430615234375,23.10546875,41.4111328125,-754.8828125,524.4140625,75.0390625,regularized_coulomb
63,3.5341796875,3.48583984375,0.47177734375,0.0430615234375,23.10546875,41.4111328125,-79.1015625,344.7265625,75.0390625,regularized_coulomb
64,3.5341796875,3.48583984375,0.47177734375,0.0430615234375,23.10546875,41.4111328125,-79.1015625,524.4140625,48.7890625,regularized_coulomb
65,1.5830078125,3.22998046875,0.46494140625,0.042514648437500004,15.17578125,43.8427734375,-754.8828125,344.7265625,48.7890625,regularized_coulomb
66,2.7841796875,3.11083984375,0.34677734375,0.0168115234375,28.10546875,40.1611328125,-829.1015625,774.4140625,65.0390625,regularized_coulomb
67,2.3330078125,3.11083984375,0.34677734375,0.0168115234375,28.10546875,40.1611328125,-829.1015625,774.4140625,65.0390625,regularized_coulomb
68,2.7841796875,3.10498046875,0.34677734375,0.0168115234375,28.10546875,40.1611328125,-829.1015625,774.4140625,65.0390625,regularized_coulomb
69,2.7841796875,3.11083984375,0.58994140625,0.0168115234375,28.10546875,40.1611328125,-829.1015625,774.4140625,65.0390625,regularized_coulomb
70,2.7841796875,3.11083984375,0.34677734375,0.0162646484375,28.10546875,40.1611328125,-829.1015625,774.4140625,65.0390625,regularized_coulomb
71,2.7841796875,3.11083984375,0.34677734375,0.0168115234375,20.17578125,40.1611328125,-829.1015625,774.4140625,65.0390625,regularized_coulomb
72,2.7841796875,3.11083984375,0.34677734375,0.0168115234375,28.10546875,42.5927734375,-829.1015625,774.4140625,65.0390625,regularized_coulomb
73,2.7841796875,3.11083984375,0.34677734375,0.0168115234375,28.10546875,40.1611328125,-4.8828125,774.4140625,65.0390625,regularized_coulomb
74,2.7841796875,3.11083984375,0.34677734375,0.0168115234375,28.10546875,40.1611328125,-829.1015625,94.7265625,65.0390625,regularized_coulomb
75,2.7841796875,3.11083984375,0.34677734375,0.0168115234375,28.10546875,40.1611328125,-829.1015625,774.4140625,78.7890625,regularized_coulomb
76,2.3330078125,3.10498046875,0.58994140625,0.0162646484375,20.17578125,42.5927734375,-4.8828125,94.7265625,78.7890625,regularized_coulomb
77,1.2841796875,3.36083984375,0.59677734375,0.034311523437500005,18.10546875,42.6611328125,-329.1015625,274.4140625,45.0390625,regularized_coulomb
78,3.8330078125,3.36083984375,0.59677734375,0.034311523437500005,18.10546875,42.6611328125,-329.1015625,274.4140625,45.0390625,regularized_coulomb
79,1.2841796875,3.35498046875,0.59677734375,0.034311523437500005,18.10546875,42.6611328125,-329.1015625,274.4140625,45.0390625,regularized_coulomb
80,1.2841796875,3.36083984375,0.33994140625,0.034311523437500005,18.10546875,42.6611328125,-329.1015625,274.4140625,45.0390625,regularized_coulomb
81,1.2841796875,3.36083984375,0.59677734375,0.0337646484375,18.10546875,42.6611328125,-329.1015625,274.4140625,45.0390625,regularized_coulomb
82,1.2841796875,3.36083984375,0.59677734375,0.034311523437500005,10.17578125,42.6611328125,-329.1015625,274.4140625,45.0390625,regularized_coulomb
83,1.2841796875,3.36083984375,0.59677734375,0.034311523437500005,18.10546875,40.0927734375,-329.1015625,274.4140625,45.0390625,regularized_coulomb
84,1.2841796875,3.36083984375,0.59677734375,0.034311523437500005,18.10546875,42.6611328125,-504.8828125,274.4140625,45.0390625,regularized_coulomb
85,1.2841796875,3.36083984375,0.59677734375,0.034311523437500005,18.10546875,42.6611328125,-329.1015625,594.7265625,45.0390625,regularized_coulomb
86,1.2841796875,3.36083984375,0.59677734375,0.034311523437500005,18.10546875,42.6611328125,-329.1015625,274.4140625,58.7890625,regularized_coulomb
