,GCM,FICE,FSNOW,PRS,RFR,OCM,OCS,TCT,VCM,PPQ,SIAE
0,0.0,4.973769398557651,4.157798201632942,6.353515625,0.40665956853869495,1.0,-1.0,1.0,1.0004503522251353,0.348005915302416,1.2069841016994907
1,1.0,4.973769398557651,4.157798201632942,6.353515625,0.40665956853869495,1.0,-1.0,1.0,1.0004503522251353,0.348005915302416,1.2069841016994907
2,0.0,5.532504159799055,4.157798201632942,6.353515625,0.40665956853869495,1.0,-1.0,1.0,1.0004503522251353,0.348005915302416,1.2069841016994907
3,0.0,4.973769398557651,3.734505612481398,6.353515625,0.40665956853869495,1.0,-1.0,1.0,1.0004503522251353,0.348005915302416,1.2069841016994907
4,0.0,4.973769398557651,4.157798201632942,5.287109375,0.40665956853869495,1.0,-1.0,1.0,1.0004503522251353,0.348005915302416,1.2069841016994907
5,0.0,4.973769398557651,4.157798201632942,6.353515625,0.44611988766965066,1.0,-1.0,1.0,1.0004503522251353,0.348005915302416,1.2069841016994907
6,0.0,4.973769398557651,4.157798201632942,6.353515625,0.40665956853869495,1.0,-1.0,1.0,1.0004503522251353,0.348005915302416,1.2069841016994907
7,0.0,4.973769398557651,4.157798201632942,6.353515625,0.40665956853869495,1.0,0.0,1.0,1.0004503522251353,0.348005915302416,1.2069841016994907
8,0.0,4.973769398557651,4.157798201632942,6.353515625,0.40665956853869495,1.0,-1.0,1.0,1.0004503522251353,0.348005915302416,1.2069841016994907
9,0.0,4.973769398557651,4.157798201632942,6.353515625,0.40665956853869495,1.0,-1.0,1.0,1.1092263853929296,0.348005915302416,1.2069841016994907
10,0.0,4.973769398557651,4.157798201632942,6.353515625,0.40665956853869495,1.0,-1.0,1.0,1.0004503522251353,0.6103627272791836,1.2069841016994907
11,0.0,4.973769398557651,4.157798201632942,6.353515625,0.40665956853869495,1.0,-1.0,1.0,1.0004503522251353,0.348005915302416,2.056750586887211
12,1.0,5.532504159799055,3.734505612481398,5.287109375,0.44611988766965066,1.0,0.0,1.0,1.1092263853929296,0.6103627272791836,2.056750586887211
13,2.0,8.664820194499782,2.188165830437475,5.353515625,0.6220460018532534,0.0,0.0,0.0,0.6520636978288761,0.6321124264881748,2.140731086474667
14,3.0,8.664820194499782,2.188165830437475,5.353515625,0.6220460018532534,0.0,0.0,0.0,0.6520636978288761,0.6321124264881748,2.140731086474667
15,2.0,9.117314481653203,2.188165830437475,5.353515625,0.6220460018532534,0.0,0.0,0.0,0.6520636978288761,0.6321124264881748,2.140731086474667
16,2.0,8.664820194499782,5.460979091751315,5.353515625,0.6220460018532534,0.0,0.0,0.0,0.6520636978288761,0.6321124264881748,2.140731086474667
17,2.0,8.664820194499782,2.188165830437475,6.287109375,0.6220460018532534,0.0,0.0,0.0,0.6520636978288761,0.6321124264881748,2.140731086474667
18,2.0,8.664820194499782,2.188165830437475,5.353515625,0.6701886113176927,0.0,0.0,0.0,0.6520636978288761,0.6321124264881748,2.140731086474667
19,2.0,8.664820194499782,2.188165830437475,5.353515625,0.6220460018532534,-1.0,0.0,0.0,0.6520636978288761,0.6321124264881748,2.140731086474667
